TEAM,YEAR,FTM,FTA,FT_PCT
Jackson State,2012,368,542,.679
Jacksonville,2012,388,591,.657
Jacksonville State,2012,503,742,.678
James Madison,2012,371,557,.666
Kansas NCAA,2012,597,863,.692
Kansas City,2012,344,495,.695
Kansas State NCAA,2012,536,799,.671
Kennesaw State,2012,332,531,.625
Kent State,2012,462,670,.690
Kentucky NCAA,2012,678,938,.723
La Salle,2012,417,578,.721
Lafayette,2012,432,566,.763
Lamar NCAA,2012,616,855,.720
Lehigh NCAA,2012,590,768,.768
Liberty,2012,454,637,.713
Lipscomb,2012,403,634,.636
Little Rock,2012,469,672,.698
Long Beach State NCAA,2012,529,790,.670
Long Island University NCAA,2012,704,965,.730
Longwood,2012,359,531,.676
Louisiana,2012,483,766,.631
Louisiana State,2012,402,582,.691
Louisiana Tech,2012,402,620,.648
Louisiana-Monroe,2012,288,441,.653
Louisville NCAA,2012,568,826,.688
Loyola (IL),2012,376,540,.696
Loyola (MD) NCAA,2012,548,762,.719
Loyola Marymount,2012,531,720,.738
Maine,2012,320,437,.732
Manhattan,2012,546,750,.728
Marist,2012,531,734,.723
Marquette NCAA,2012,599,831,.721
Marshall,2012,479,780,.614
Maryland,2012,539,812,.664
Maryland-Baltimore County,2012,373,564,.661
Maryland-Eastern Shore,2012,343,538,.638
Massachusetts,2012,527,783,.673
McNeese State,2012,426,631,.675
Memphis NCAA,2012,563,785,.717
Mercer,2012,527,734,.718
Miami (FL),2012,454,630,.721
Miami (OH),2012,323,463,.698
Michigan NCAA,2012,363,503,.722
Michigan State NCAA,2012,531,759,.700
Middle Tennessee,2012,532,838,.635
Milwaukee,2012,423,691,.612
Minnesota,2012,536,769,.697
Mississippi,2012,486,806,.603
Mississippi State,2012,436,614,.710
Mississippi Valley State NCAA,2012,456,708,.644
Missouri NCAA,2012,559,730,.766
Missouri State,2012,372,516,.721
Monmouth,2012,392,603,.650
Montana NCAA,2012,482,672,.717
Montana State,2012,414,598,.692
Morehead State,2012,453,608,.745
Morgan State,2012,437,646,.676
Mount St. Mary's,2012,295,458,.644
Murray State NCAA,2012,551,761,.724
Navy,2012,333,487,.684
NC State NCAA,2012,545,774,.704
Nebraska,2012,335,437,.767
Nevada,2012,541,832,.650
Nevada-Las Vegas NCAA,2012,496,734,.676
New Hampshire,2012,322,529,.609
New Mexico NCAA,2012,529,748,.707
New Mexico State NCAA,2012,707,1058,.668
Niagara,2012,503,718,.701
Nicholls State,2012,403,599,.673
NJIT,2012,404,575,.703
Norfolk State NCAA,2012,544,829,.656
North Carolina NCAA,2012,629,922,.682
North Carolina A&T,2012,456,698,.653
North Carolina Central,2012,527,746,.706
North Dakota,2012,428,679,.630
North Dakota State,2012,458,635,.721
North Florida,2012,393,645,.609
North Texas,2012,455,639,.712
Northeastern,2012,420,598,.702
Northern Arizona,2012,325,469,.693
Northern Colorado,2012,429,614,.699
Northern Illinois,2012,343,511,.671
Northern Iowa,2012,441,605,.729
Northwestern,2012,409,592,.691
Northwestern State,2012,488,799,.611
Notre Dame NCAA,2012,474,673,.704
Oakland,2012,646,877,.737
Ohio NCAA,2012,517,749,.690
Ohio State NCAA,2012,600,846,.709
Oklahoma,2012,413,568,.727
Oklahoma State,2012,506,685,.739
Old Dominion,2012,473,766,.617
Oral Roberts,2012,557,747,.746
Oregon,2012,515,726,.709
Oregon State,2012,630,931,.677
Pacific,2012,400,581,.688
Penn State,2012,386,563,.686
Pennsylvania,2012,374,513,.729
Pepperdine,2012,369,560,.659
Pittsburgh,2012,483,691,.699
Portland,2012,410,571,.718
Portland State,2012,561,761,.737
Prairie View,2012,340,629,.541
Presbyterian,2012,396,563,.703
Princeton,2012,353,520,.679
Providence,2012,501,712,.704
Purdue NCAA,2012,452,689,.656
Purdue Fort Wayne,2012,424,621,.683
Quinnipiac,2012,474,743,.638
Radford,2012,359,564,.637
Rhode Island,2012,447,648,.690
Rice,2012,525,768,.684
Richmond,2012,509,667,.763
Rider,2012,503,699,.720
Robert Morris,2012,604,862,.701
Rutgers,2012,398,571,.697
Sacramento State,2012,397,568,.699
Sacred Heart,2012,456,612,.745
Saint Francis (PA),2012,324,496,.653
Saint Joseph's,2012,468,676,.692
Saint Louis NCAA,2012,470,653,.720
Saint Mary's (CA) NCAA,2012,508,697,.729
Saint Peter's,2012,309,477,.648
Sam Houston,2012,412,689,.598
Samford,2012,313,478,.655
San Diego,2012,392,598,.656
San Diego State NCAA,2012,493,703,.701
San Francisco,2012,512,745,.687
San Jose State,2012,437,586,.746
Santa Clara,2012,412,582,.708
Savannah State,2012,405,688,.589
Seattle,2012,316,454,.696
Seton Hall,2012,422,626,.674
Siena,2012,393,577,.681
South Alabama,2012,435,621,.700
South Carolina,2012,321,458,.701
South Carolina State,2012,417,641,.651
South Carolina Upstate,2012,443,695,.637
South Dakota,2012,371,530,.700
South Dakota State NCAA,2012,569,783,.727
South Florida NCAA,2012,421,597,.705
Southeast Missouri State,2012,373,592,.630
Southeastern Louisiana,2012,352,596,.591
Southern,2012,416,607,.685
Southern California,2012,272,445,.611
Southern Illinois,2012,391,611,.640
SIU Edwardsville,2012,341,521,.655
Southern Methodist,2012,371,551,.673
Southern Mississippi NCAA,2012,573,779,.736
Southern Utah,2012,446,617,.723
St. Bonaventure NCAA,2012,540,710,.761
St. Francis (NY),2012,391,590,.663
St. John's (NY),2012,485,713,.680
Stanford,2012,529,794,.666
Stephen F. Austin,2012,411,650,.632
Stetson,2012,396,570,.695
Stony Brook,2012,390,563,.693
Syracuse NCAA,2012,495,709,.698
TCU,2012,505,731,.691
Temple NCAA,2012,451,627,.719
Tennessee,2012,491,699,.702
Tennessee State,2012,499,724,.689
Tennessee Tech,2012,540,758,.712
Tennessee-Martin,2012,416,592,.703
Texas NCAA,2012,601,820,.733
Texas A&M,2012,330,502,.657
Texas A&M-Corpus Christi,2012,360,600,.600
Texas Southern,2012,470,746,.630
Texas State,2012,455,639,.712
Texas Tech,2012,414,590,.702
Texas-Rio Grande Valley,2012,409,580,.705
The Citadel,2012,355,537,.661
Toledo,2012,543,748,.726
Towson,2012,379,647,.586
Troy,2012,304,450,.676
Tulane,2012,432,653,.662
Tulsa,2012,495,727,.681
UAB,2012,388,566,.686
UC Davis,2012,362,529,.684
UC Irvine,2012,377,592,.637
UC Riverside,2012,343,498,.689
UC Santa Barbara,2012,417,601,.694
UCF,2012,452,722,.626
UCLA,2012,398,596,.668
UNC Asheville NCAA,2012,682,893,.764
UNC Greensboro,2012,427,623,.685
UNC Wilmington,2012,394,580,.679
UT Arlington,2012,624,888,.703
Utah,2012,345,518,.666
Utah State,2012,551,766,.719
Utah Valley,2012,478,685,.698
UTEP,2012,423,619,.683
UTSA,2012,481,647,.743
Valparaiso,2012,522,730,.715
Vanderbilt NCAA,2012,538,770,.699
Vermont NCAA,2012,528,714,.739
Villanova,2012,546,724,.754
Virginia NCAA,2012,403,558,.722
Virginia Commonwealth NCAA,2012,507,740,.685
VMI,2012,564,784,.719
Virginia Tech,2012,434,599,.725
Wagner,2012,513,690,.743
Wake Forest,2012,485,659,.736
Washington,2012,497,798,.623
Washington State,2012,573,808,.709
Weber State,2012,538,661,.814
West Virginia NCAA,2012,496,739,.671
Western Carolina,2012,470,681,.690
Western Illinois,2012,369,538,.686
Western Kentucky NCAA,2012,539,785,.687
Western Michigan,2012,525,741,.709
Wichita State NCAA,2012,491,656,.748
William & Mary,2012,389,547,.711
Winthrop,2012,370,564,.656
Wisconsin NCAA,2012,425,575,.739
Wofford,2012,338,508,.665
Wright State,2012,418,594,.704
Wyoming,2012,451,610,.739
Xavier NCAA,2012,569,819,.695
Yale,2012,459,646,.711
Youngstown State,2012,333,514,.648
Air Force,2013,379,531,.714
Akron NCAA,2013,436,678,.643
Alabama,2013,455,648,.702
Alabama A&M,2013,410,651,.630
Alabama State,2013,343,575,.597
Albany (NY) NCAA,2013,516,700,.737
Alcorn State,2013,438,705,.621
American,2013,326,460,.709
Appalachian State,2013,456,662,.689
Arizona NCAA,2013,541,722,.749
Arizona State,2013,458,706,.649
Arkansas,2013,462,687,.672
Arkansas State,2013,520,762,.682
Arkansas-Pine Bluff,2013,355,563,.631
Army,2013,461,628,.734
Auburn,2013,439,627,.700
Austin Peay,2013,426,633,.673
Ball State,2013,468,718,.652
Baylor,2013,550,796,.691
Belmont NCAA,2013,442,604,.732
Bethune-Cookman,2013,463,742,.624
Binghamton,2013,344,533,.645
Boise State NCAA,2013,446,597,.747
Boston College,2013,481,676,.712
Boston University,2013,317,436,.727
Bowling Green State,2013,346,484,.715
Bradley,2013,434,600,.723
Brigham Young,2013,566,777,.728
Brown,2013,323,512,.631
Bryant,2013,453,627,.722
Bucknell NCAA,2013,484,652,.742
Buffalo,2013,472,671,.703
Butler NCAA,2013,518,744,.696
Cal Poly,2013,409,564,.725
Cal State Bakersfield,2013,422,603,.700
Cal State Fullerton,2013,475,627,.758
Cal State Northridge,2013,534,729,.733
California NCAA,2013,418,585,.715
Campbell,2013,439,619,.709
Canisius,2013,472,659,.716
Central Arkansas,2013,368,582,.632
Central Connecticut State,2013,404,552,.732
Central Michigan,2013,482,659,.731
Charleston Southern,2013,428,605,.707
Charlotte,2013,529,809,.654
Chattanooga,2013,527,793,.665
Chicago State,2013,362,498,.727
Cincinnati NCAA,2013,450,696,.647
Clemson,2013,356,544,.654
Cleveland State,2013,379,535,.708
Coastal Carolina,2013,385,587,.656
Colgate,2013,343,485,.707
College of Charleston,2013,482,703,.686
Colorado NCAA,2013,502,732,.686
Colorado State NCAA,2013,611,855,.715
Columbia,2013,357,479,.745
Connecticut,2013,451,607,.743
Coppin State,2013,418,601,.696
Cornell,2013,368,523,.704
Creighton NCAA,2013,489,644,.759
Dartmouth,2013,364,499,.729
Davidson NCAA,2013,560,704,.795
Dayton,2013,471,657,.717
Delaware,2013,580,769,.754
Delaware State,2013,396,574,.690
Denver,2013,346,481,.719
DePaul,2013,435,618,.704
Detroit Mercy,2013,518,711,.729
Drake,2013,467,651,.717
Drexel,2013,412,553,.745
Duke NCAA,2013,588,796,.739
Duquesne,2013,356,553,.644
East Carolina,2013,561,784,.716
East Tennessee State,2013,370,554,.668
Eastern Illinois,2013,359,541,.664
Eastern Kentucky,2013,503,644,.781
Eastern Michigan,2013,357,533,.670
Eastern Washington,2013,380,580,.655
Elon,2013,387,543,.713
Evansville,2013,483,652,.741
Fairfield,2013,365,533,.685
FDU,2013,396,590,.671
Florida NCAA,2013,422,623,.677
Florida A&M,2013,380,606,.627
Florida Atlantic,2013,433,618,.701
Florida Gulf Coast NCAA,2013,497,736,.675
Florida International,2013,454,642,.707
Florida State,2013,522,710,.735
Fordham,2013,393,583,.674
Fresno State,2013,396,593,.668
Furman,2013,392,568,.690
Gardner-Webb,2013,464,649,.715
George Mason,2013,540,745,.725
George Washington,2013,440,670,.657
Georgetown NCAA,2013,407,599,.679
Georgia,2013,486,700,.694
Georgia Southern,2013,423,615,.688
Georgia State,2013,417,586,.712
Georgia Tech,2013,318,501,.635
Gonzaga NCAA,2013,548,777,.705
Grambling,2013,210,358,.587
Green Bay,2013,529,705,.750
Hampton,2013,445,668,.666
Hartford,2013,338,485,.697
Harvard NCAA,2013,504,697,.723
Hawaii,2013,469,683,.687
High Point,2013,437,609,.718
Hofstra,2013,416,664,.627
Holy Cross,2013,351,466,.753
Houston,2013,555,782,.710
Houston Christian,2013,417,628,.664
Howard,2013,370,558,.663
Idaho,2013,428,576,.743
Idaho State,2013,373,548,.681
Illinois NCAA,2013,469,646,.726
Illinois State,2013,476,658,.723
Illinois-Chicago,2013,474,630,.752
Indiana NCAA,2013,672,904,.743
Indiana State,2013,507,717,.707
Iona NCAA,2013,538,689,.781
Iowa,2013,655,896,.731
Iowa State NCAA,2013,509,696,.731
IUPUI,2013,294,439,.670
Jackson State,2013,445,637,.699
Jacksonville,2013,467,664,.703
Jacksonville State,2013,424,625,.678
James Madison NCAA,2013,499,714,.699
Kansas NCAA,2013,596,809,.737
Kansas City,2013,345,512,.674
Kansas State NCAA,2013,432,631,.685
Kennesaw State,2013,391,601,.651
Kent State,2013,597,842,.709
Kentucky,2013,486,757,.642
La Salle NCAA,2013,446,605,.737
Lafayette,2013,389,516,.754
Lamar,2013,385,548,.703
Lehigh,2013,455,617,.737
Liberty NCAA,2013,562,770,.730
Lipscomb,2013,486,753,.645
Little Rock,2013,501,741,.676
Long Beach State,2013,446,675,.661
Long Island University NCAA,2013,601,870,.691
Longwood,2013,421,593,.710
Louisiana,2013,457,681,.671
Louisiana State,2013,384,614,.625
Louisiana Tech,2013,503,722,.697
Louisiana-Monroe,2013,256,444,.577
Louisville NCAA,2013,652,920,.709
Loyola (IL),2013,395,550,.718
Loyola (MD),2013,542,786,.690
Loyola Marymount,2013,466,663,.703
Maine,2013,366,559,.655
Manhattan,2013,456,689,.662
Marist,2013,428,661,.648
Marquette NCAA,2013,551,755,.730
Marshall,2013,476,796,.598
Maryland,2013,497,732,.679
Maryland-Baltimore County,2013,328,520,.631
Maryland-Eastern Shore,2013,336,532,.632
Massachusetts,2013,497,691,.719
McNeese State,2013,353,549,.643
Memphis NCAA,2013,509,771,.660
Mercer,2013,492,653,.753
Miami (FL) NCAA,2013,465,680,.684
Miami (OH),2013,402,591,.680
Michigan NCAA,2013,450,642,.701
Michigan State NCAA,2013,507,710,.714
Middle Tennessee NCAA,2013,528,759,.696
Milwaukee,2013,432,632,.684
Minnesota NCAA,2013,523,764,.685
Mississippi NCAA,2013,587,866,.678
Mississippi State,2013,449,683,.657
Mississippi Valley State,2013,410,633,.648
Missouri NCAA,2013,525,706,.744
Missouri State,2013,391,584,.670
Monmouth,2013,410,581,.706
Montana NCAA,2013,499,651,.767
Montana State,2013,450,626,.719
Morehead State,2013,511,739,.691
Morgan State,2013,417,708,.589
Mount St. Mary's,2013,403,578,.697
Murray State,2013,462,669,.691
Navy,2013,281,448,.627
NC State NCAA,2013,554,813,.681
Nebraska,2013,342,494,.692
Nevada,2013,503,690,.729
Nevada-Las Vegas NCAA,2013,525,747,.703
New Hampshire,2013,348,545,.639
New Mexico NCAA,2013,598,829,.721
New Mexico State NCAA,2013,554,845,.656
New Orleans,2013,368,557,.661
Niagara,2013,521,754,.691
Nicholls State,2013,435,651,.668
NJIT,2013,455,678,.671
Norfolk State,2013,478,740,.646
North Carolina NCAA,2013,442,655,.675
North Carolina A&T NCAA,2013,532,809,.658
North Carolina Central,2013,499,680,.734
North Dakota,2013,463,651,.711
North Dakota State,2013,372,515,.722
North Florida,2013,343,519,.661
North Texas,2013,524,740,.708
Northeastern,2013,506,672,.753
Northern Arizona,2013,383,567,.675
Northern Colorado,2013,381,565,.674
Northern Illinois,2013,361,553,.653
Northern Iowa,2013,464,613,.757
Northern Kentucky,2013,272,387,.703
Northwestern,2013,379,558,.679
Northwestern State NCAA,2013,532,775,.686
Notre Dame NCAA,2013,438,618,.709
Oakland,2013,559,790,.708
Ohio,2013,418,598,.699
Ohio State NCAA,2013,516,729,.708
Oklahoma NCAA,2013,495,654,.757
Oklahoma State NCAA,2013,560,751,.746
Old Dominion,2013,395,598,.661
Omaha,2013,374,536,.698
Oral Roberts,2013,539,730,.738
Oregon NCAA,2013,570,809,.705
Oregon State,2013,460,687,.670
Pacific NCAA,2013,471,684,.689
Penn State,2013,432,621,.696
Pennsylvania,2013,400,558,.717
Pepperdine,2013,372,529,.703
Pittsburgh NCAA,2013,445,666,.668
Portland,2013,408,603,.677
Portland State,2013,376,506,.743
Prairie View,2013,409,665,.615
Presbyterian,2013,317,421,.753
Princeton,2013,349,483,.723
Providence,2013,511,728,.702
Purdue,2013,431,660,.653
Purdue Fort Wayne,2013,437,681,.642
Quinnipiac,2013,510,758,.673
Radford,2013,442,682,.648
Rhode Island,2013,371,553,.671
Rice,2013,358,493,.726
Richmond,2013,546,756,.722
Rider,2013,463,683,.678
Robert Morris,2013,530,708,.749
Rutgers,2013,383,548,.699
Sacramento State,2013,436,599,.728
Sacred Heart,2013,385,533,.722
Saint Francis (PA),2013,331,482,.687
Saint Joseph's,2013,429,616,.696
Saint Louis NCAA,2013,562,798,.704
Saint Mary's (CA) NCAA,2013,517,713,.725
Saint Peter's,2013,293,495,.592
Sam Houston,2013,464,707,.656
Samford,2013,332,502,.661
San Diego,2013,448,663,.676
San Diego State NCAA,2013,476,697,.683
San Francisco,2013,400,600,.667
San Jose State,2013,397,605,.656
Santa Clara,2013,584,803,.727
Savannah State,2013,380,615,.618
Seattle,2013,317,507,.625
Seton Hall,2013,387,588,.658
Siena,2013,418,622,.672
South Alabama,2013,531,741,.717
South Carolina,2013,437,635,.688
South Carolina State,2013,315,487,.647
South Carolina Upstate,2013,416,640,.650
South Dakota,2013,463,593,.781
South Dakota State NCAA,2013,478,627,.762
South Florida,2013,338,487,.694
Southeast Missouri State,2013,430,614,.700
Southeastern Louisiana,2013,402,607,.662
Southern NCAA,2013,475,689,.689
Southern California,2013,379,547,.693
Southern Illinois,2013,359,559,.642
SIU Edwardsville,2013,322,481,.669
Southern Methodist,2013,493,662,.745
Southern Mississippi,2013,518,746,.694
Southern Utah,2013,468,646,.724
St. Bonaventure,2013,481,630,.763
St. Francis (NY),2013,376,565,.665
St. John's (NY),2013,368,575,.640
Stanford,2013,496,668,.743
Stephen F. Austin,2013,397,651,.610
Stetson,2013,414,587,.705
Stony Brook,2013,472,670,.704
Syracuse NCAA,2013,569,843,.675
TCU,2013,382,636,.601
Temple NCAA,2013,511,707,.723
Tennessee,2013,510,739,.690
Tennessee State,2013,554,741,.748
Tennessee Tech,2013,401,566,.708
Tennessee-Martin,2013,475,640,.742
Texas,2013,505,766,.659
Texas A&M,2013,404,573,.705
Texas A&M-Corpus Christi,2013,340,500,.680
Texas Southern,2013,350,550,.636
Texas State,2013,513,727,.706
Texas Tech,2013,435,652,.667
Texas-Rio Grande Valley,2013,413,648,.637
The Citadel,2013,393,559,.703
Toledo,2013,440,578,.761
Towson,2013,449,687,.654
Troy,2013,318,468,.679
Tulane,2013,634,872,.727
Tulsa,2013,514,767,.670
UAB,2013,424,586,.724
UC Davis,2013,391,544,.719
UC Irvine,2013,445,669,.665
UC Riverside,2013,307,527,.583
UC Santa Barbara,2013,350,506,.692
UCF,2013,438,680,.644
UCLA NCAA,2013,511,706,.724
UNC Asheville,2013,493,690,.714
UNC Greensboro,2013,419,623,.673
UNC Wilmington,2013,381,593,.642
UT Arlington,2013,432,663,.652
Utah,2013,413,547,.755
Utah State,2013,456,631,.723
Utah Valley,2013,390,549,.710
UTEP,2013,453,669,.677
UTSA,2013,426,630,.676
Valparaiso NCAA,2013,521,713,.731
Vanderbilt,2013,372,586,.635
Vermont,2013,517,729,.709
Villanova NCAA,2013,639,889,.719
Virginia,2013,399,565,.706
Virginia Commonwealth NCAA,2013,469,669,.701
VMI,2013,397,604,.657
Virginia Tech,2013,484,683,.709
Wagner,2013,492,698,.705
Wake Forest,2013,491,722,.680
Washington,2013,446,653,.683
Washington State,2013,395,574,.688
Weber State,2013,554,768,.721
West Virginia,2013,501,721,.695
Western Carolina,2013,425,604,.704
Western Illinois,2013,366,570,.642
Western Kentucky NCAA,2013,509,755,.674
Western Michigan,2013,587,835,.703
Wichita State NCAA,2013,553,791,.699
William & Mary,2013,405,571,.709
Winthrop,2013,385,560,.688
Wisconsin NCAA,2013,369,582,.634
Wofford,2013,346,477,.725
Wright State,2013,427,607,.703
Wyoming,2013,436,646,.675
Xavier,2013,437,655,.667
Yale,2013,501,688,.728
Youngstown State,2013,475,686,.692
Abilene Christian,2014,499,666,.749
Air Force,2014,406,588,.690
Akron,2014,467,750,.623
Alabama,2014,505,737,.685
Alabama A&M,2014,442,674,.656
Alabama State,2014,506,748,.676
Albany (NY) NCAA,2014,546,728,.750
Alcorn State,2014,463,708,.654
American NCAA,2014,378,535,.707
Appalachian State,2014,445,697,.638
Arizona NCAA,2014,573,870,.659
Arizona State NCAA,2014,546,787,.694
Arkansas,2014,614,846,.726
Arkansas State,2014,556,766,.726
Arkansas-Pine Bluff,2014,446,675,.661
Army,2014,406,580,.700
Auburn,2014,526,730,.721
Austin Peay,2014,535,804,.665
Ball State,2014,469,679,.691
Baylor NCAA,2014,645,949,.680
Belmont,2014,587,794,.739
Bethune-Cookman,2014,442,615,.719
Binghamton,2014,476,687,.693
Boise State,2014,547,730,.749
Boston College,2014,518,699,.741
Boston University,2014,422,591,.714
Bowling Green State,2014,401,630,.637
Bradley,2014,440,628,.701
Brigham Young NCAA,2014,730,1055,.692
Brown,2014,399,593,.673
Bryant,2014,470,669,.703
Bucknell,2014,385,516,.746
Buffalo,2014,487,684,.712
Butler,2014,432,654,.661
Cal Poly NCAA,2014,415,603,.688
Cal State Bakersfield,2014,460,669,.688
Cal State Fullerton,2014,433,658,.658
Cal State Northridge,2014,765,967,.791
California,2014,492,717,.686
Campbell,2014,344,508,.677
Canisius,2014,564,762,.740
Central Arkansas,2014,400,666,.601
Central Connecticut State,2014,386,538,.717
Central Michigan,2014,465,655,.710
Charleston Southern,2014,503,689,.730
Charlotte,2014,453,699,.648
Chattanooga,2014,609,866,.703
Chicago State,2014,438,649,.675
Cincinnati NCAA,2014,519,733,.708
Clemson,2014,505,679,.744
Cleveland State,2014,496,659,.753
Coastal Carolina NCAA,2014,524,758,.691
Colgate,2014,328,459,.715
College of Charleston,2014,389,593,.656
Colorado NCAA,2014,648,903,.718
Colorado State,2014,637,877,.726
Columbia,2014,551,711,.775
Connecticut NCAA,2014,644,829,.777
Coppin State,2014,552,756,.730
Cornell,2014,299,450,.664
Creighton NCAA,2014,486,654,.743
Dartmouth,2014,385,561,.686
Davidson,2014,526,735,.716
Dayton NCAA,2014,558,819,.681
Delaware NCAA,2014,658,925,.711
Delaware State,2014,399,579,.689
Denver,2014,369,520,.710
DePaul,2014,531,776,.684
Detroit Mercy,2014,528,724,.729
Drake,2014,437,612,.714
Drexel,2014,474,669,.709
Duke NCAA,2014,571,783,.729
Duquesne,2014,480,717,.669
East Carolina,2014,570,799,.713
East Tennessee State,2014,656,877,.748
Eastern Illinois,2014,472,660,.715
Eastern Kentucky NCAA,2014,600,798,.752
Eastern Michigan,2014,594,876,.678
Eastern Washington,2014,485,700,.693
Elon,2014,462,639,.723
Evansville,2014,596,830,.718
Fairfield,2014,416,607,.685
FDU,2014,447,621,.720
Florida NCAA,2014,582,871,.668
Florida A&M,2014,450,688,.654
Florida Atlantic,2014,416,647,.643
Florida Gulf Coast,2014,476,706,.674
Florida International,2014,468,698,.670
Florida State,2014,617,855,.722
Fordham,2014,476,649,.733
Fresno State,2014,646,884,.731
Furman,2014,431,633,.681
Gardner-Webb,2014,554,807,.686
George Mason,2014,489,690,.709
George Washington NCAA,2014,550,845,.651
Georgetown,2014,562,780,.721
Georgia,2014,642,941,.682
Georgia Southern,2014,484,731,.662
Georgia State,2014,589,757,.778
Georgia Tech,2014,435,636,.684
Gonzaga NCAA,2014,562,793,.709
Grambling,2014,430,645,.667
Grand Canyon,2014,615,831,.740
Green Bay,2014,528,751,.703
Hampton,2014,597,909,.657
Hartford,2014,435,619,.703
Harvard NCAA,2014,587,811,.724
Hawaii,2014,570,789,.722
High Point,2014,414,558,.742
Hofstra,2014,531,806,.659
Holy Cross,2014,518,708,.732
Houston,2014,467,700,.667
Houston Christian,2014,460,674,.682
Howard,2014,567,835,.679
Idaho,2014,579,842,.688
Idaho State,2014,500,701,.713
Illinois,2014,444,606,.733
Illinois State,2014,545,774,.704
Illinois-Chicago,2014,471,660,.714
Incarnate Word,2014,471,688,.685
Indiana,2014,576,789,.730
Indiana State,2014,569,787,.723
Iona,2014,528,739,.714
Iowa NCAA,2014,660,898,.735
Iowa State NCAA,2014,564,814,.693
IUPUI,2014,422,569,.742
Jackson State,2014,498,688,.724
Jacksonville,2014,531,749,.709
Jacksonville State,2014,469,695,.675
James Madison,2014,514,750,.685
Kansas NCAA,2014,665,935,.711
Kansas City,2014,460,725,.634
Kansas State NCAA,2014,486,741,.656
Kennesaw State,2014,408,628,.650
Kent State,2014,464,660,.703
Kentucky NCAA,2014,781,1146,.682
La Salle,2014,483,682,.708
Lafayette,2014,419,563,.744
Lamar,2014,482,648,.744
Lehigh,2014,406,574,.707
Liberty,2014,438,622,.704
Lipscomb,2014,547,800,.684
Little Rock,2014,556,754,.737
Long Beach State,2014,401,607,.661
Long Island University,2014,448,625,.717
Longwood,2014,431,591,.729
Louisiana NCAA,2014,613,913,.671
Louisiana State,2014,473,707,.669
Louisiana Tech,2014,644,948,.679
Louisiana-Monroe,2014,339,536,.632
Louisville NCAA,2014,608,920,.661
Loyola (IL),2014,426,606,.703
Loyola (MD),2014,452,678,.667
Loyola Marymount,2014,528,693,.762
Maine,2014,391,577,.678
Manhattan NCAA,2014,676,1019,.663
Marist,2014,500,700,.714
Marquette,2014,556,806,.690
Marshall,2014,509,818,.622
Maryland,2014,460,677,.679
Maryland-Baltimore County,2014,457,698,.655
Maryland-Eastern Shore,2014,504,699,.721
Massachusetts NCAA,2014,525,769,.683
Massachusetts-Lowell,2014,386,548,.704
McNeese State,2014,450,647,.696
Memphis NCAA,2014,516,801,.644
Mercer NCAA,2014,582,791,.736
Miami (FL),2014,419,610,.687
Miami (OH),2014,433,574,.754
Michigan NCAA,2014,527,691,.763
Michigan State NCAA,2014,515,728,.707
Middle Tennessee,2014,529,796,.665
Milwaukee NCAA,2014,604,823,.734
Minnesota,2014,607,818,.742
Mississippi,2014,552,793,.696
Mississippi State,2014,510,769,.663
Mississippi Valley State,2014,474,707,.670
Missouri,2014,703,948,.742
Missouri State,2014,510,720,.708
Monmouth,2014,479,749,.640
Montana,2014,495,670,.739
Montana State,2014,452,636,.711
Morehead State,2014,693,992,.699
Morgan State,2014,475,776,.612
Mount St. Mary's NCAA,2014,522,706,.739
Murray State,2014,593,883,.672
Navy,2014,299,471,.635
NC State NCAA,2014,501,762,.657
Nebraska NCAA,2014,511,713,.717
Nevada,2014,510,699,.730
Nevada-Las Vegas,2014,492,752,.654
New Hampshire,2014,356,514,.693
New Mexico NCAA,2014,625,863,.724
New Mexico State NCAA,2014,705,1027,.686
New Orleans,2014,492,722,.681
Niagara,2014,646,947,.682
Nicholls State,2014,392,619,.633
NJIT,2014,435,603,.721
Norfolk State,2014,509,734,.693
North Carolina NCAA,2014,552,882,.626
North Carolina A&T,2014,674,964,.699
North Carolina Central NCAA,2014,635,872,.728
North Dakota,2014,548,797,.688
North Dakota State NCAA,2014,540,719,.751
North Florida,2014,513,728,.705
North Texas,2014,523,769,.680
Northeastern,2014,485,752,.645
Northern Arizona,2014,418,586,.713
Northern Colorado,2014,446,651,.685
Northern Illinois,2014,565,826,.684
Northern Iowa,2014,468,646,.724
Northern Kentucky,2014,408,578,.706
Northwestern,2014,417,596,.700
Northwestern State,2014,594,802,.741
Notre Dame,2014,397,553,.718
Oakland,2014,534,732,.730
Ohio,2014,499,699,.714
Ohio State NCAA,2014,546,793,.689
Oklahoma NCAA,2014,601,802,.749
Oklahoma State NCAA,2014,693,964,.719
Old Dominion,2014,471,758,.621
Omaha,2014,569,744,.765
Oral Roberts,2014,538,747,.720
Oregon NCAA,2014,668,865,.772
Oregon State,2014,598,860,.695
Pacific,2014,584,763,.765
Penn State,2014,559,754,.741
Pennsylvania,2014,403,594,.678
Pepperdine,2014,463,661,.700
Pittsburgh NCAA,2014,613,861,.712
Portland,2014,516,702,.735
Portland State,2014,520,711,.731
Prairie View,2014,513,791,.649
Presbyterian,2014,358,529,.677
Princeton,2014,432,599,.721
Providence NCAA,2014,650,831,.782
Purdue,2014,492,733,.671
Purdue Fort Wayne,2014,539,813,.663
Quinnipiac,2014,678,947,.716
Radford,2014,564,820,.688
Rhode Island,2014,509,779,.653
Rice,2014,342,527,.649
Richmond,2014,487,728,.669
